State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2023,1,744104,118286,201531285.0
andaman-&-nicobar-islands,2023,1,744211,107424,263885620.0
andaman-&-nicobar-islands,2023,1,744107,92715,168098531.0
andaman-&-nicobar-islands,2023,1,744112,76246,131598911.0
andaman-&-nicobar-islands,2023,1,744202,59440,165959850.0
andaman-&-nicobar-islands,2023,1,744301,55605,111713635.0
andaman-&-nicobar-islands,2023,2,744103,597774,1119274409.0
andaman-&-nicobar-islands,2023,2,744105,507585,916209552.0
andaman-&-nicobar-islands,2023,2,744101,486154,824857096.0
andaman-&-nicobar-islands,2023,2,744102,269165,458977445.0
andaman-&-nicobar-islands,2023,2,744104,134785,205244167.0
andaman-&-nicobar-islands,2023,2,744107,114795,194986633.0
andaman-&-nicobar-islands,2023,2,744211,106510,222510323.0
andaman-&-nicobar-islands,2023,2,744112,89784,147571191.0
andaman-&-nicobar-islands,2023,2,744202,72315,211302035.0
andaman-&-nicobar-islands,2023,2,744301,63841,134197959.0
andaman-&-nicobar-islands,2023,3,744103,697625,1158992204.0
andaman-&-nicobar-islands,2023,3,744105,594280,962825309.0
andaman-&-nicobar-islands,2023,3,744101,561910,880223225.0
andaman-&-nicobar-islands,2023,3,744102,301979,500512890.0
andaman-&-nicobar-islands,2023,3,744104,144283,201467258.0
andaman-&-nicobar-islands,2023,3,744107,126430,192271794.0
andaman-&-nicobar-islands,2023,3,744211,122188,205773943.0
andaman-&-nicobar-islands,2023,3,744112,102093,142609621.0
andaman-&-nicobar-islands,2023,3,744202,81233,229651761.0
andaman-&-nicobar-islands,2023,3,744301,72307,142757567.0
andaman-&-nicobar-islands,2023,4,744103,817988,1376084403.0
andaman-&-nicobar-islands,2023,4,744105,687868,1111327351.0
andaman-&-nicobar-islands,2023,4,744101,665217,1030639279.0
andaman-&-nicobar-islands,2023,4,744102,343773,550517935.0
andaman-&-nicobar-islands,2023,4,744211,208914,434254474.0
andaman-&-nicobar-islands,2023,4,744104,180753,276651786.0
andaman-&-nicobar-islands,2023,4,744107,150575,215238085.0
andaman-&-nicobar-islands,2023,4,744112,121589,178498997.0
andaman-&-nicobar-islands,2023,4,744301,92294,197278662.0
andaman-&-nicobar-islands,2023,4,744202,91113,233493969.0
andhra-pradesh,2021,1,524002,7269657,16698428355.239132
andhra-pradesh,2021,1,530026,5875319,13567044097.312927
andhra-pradesh,2021,1,517501,4354325,8224302893.470669
andhra-pradesh,2021,1,520002,3591058,9183853695.408499
andhra-pradesh,2021,1,517507,3378549,6593121540.981036
andhra-pradesh,2021,1,530016,3144495,5679150412.005564
andhra-pradesh,2021,1,516001,2941623,7434205012.068323
andhra-pradesh,2021,1,515001,2815993,6225481722.602297
andhra-pradesh,2021,1,522001,2584588,6753205746.899624
andhra-pradesh,2021,1,520010,2291676,4716738889.930448
andhra-pradesh,2021,2,524002,11023032,25519404146.52658
andhra-pradesh,2021,2,530026,7850540,19042845773.20165
andhra-pradesh,2021,2,520002,5441708,14948864290.86964
andhra-pradesh,2021,2,517501,4614209,9215678010.439575
andhra-pradesh,2021,2,517507,3834825,7940105016.380435
andhra-pradesh,2021,2,522001,3427039,9832657321.439524
andhra-pradesh,2021,2,515001,3052771,7213837063.020088
andhra-pradesh,2021,2,530016,2892664,5705916880.595729
andhra-pradesh,2021,2,516001,2613562,7256266063.657529
andhra-pradesh,2021,2,518002,2553688,5906664130.524334
andhra-pradesh,2021,3,524002,10701326,23300508690.71216
andhra-pradesh,2021,3,530026,9780096,22841763578.29273
andhra-pradesh,2021,3,517501,5982442,11419848822.233982
andhra-pradesh,2021,3,520002,5320101,14633600592.216694
andhra-pradesh,2021,3,517507,4866065,9768221617.56348
andhra-pradesh,2021,3,522001,4242875,11355623168.660927
andhra-pradesh,2021,3,530016,4177023,7797927714.306906
andhra-pradesh,2021,3,515001,4040160,8752025049.046715
andhra-pradesh,2021,3,516001,3370675,8720115499.341372
andhra-pradesh,2021,3,520010,3206301,6832329071.6628275
andhra-pradesh,2021,4,524002,14158439,30358274591.367683
andhra-pradesh,2021,4,530026,10216678,24428085477.49295
andhra-pradesh,2021,4,517501,7246667,13514835187.056923
andhra-pradesh,2021,4,517507,5790910,11415016234.059563
andhra-pradesh,2021,4,520002,5716025,15397268124.171196
andhra-pradesh,2021,4,530016,5252680,9484946022.822403
andhra-pradesh,2021,4,522001,4989759,13298088500.28115
andhra-pradesh,2021,4,515001,4892740,10235401678.208153
andhra-pradesh,2021,4,520010,4198904,8551737728.052567
andhra-pradesh,2021,4,516001,4058071,10324818012.146276
andhra-pradesh,2022,1,524002,16133298,35123754551.39544
andhra-pradesh,2022,1,530026,10293117,25355928765.674084
andhra-pradesh,2022,1,517501,8062447,14807178133.005922
andhra-pradesh,2022,1,517507,6660899,12913687866.526722
andhra-pradesh,2022,1,520002,6254668,16297042494.467913
andhra-pradesh,2022,1,522001,5691035,15226428277.57111
andhra-pradesh,2022,1,515001,5585462,11393585212.479506
andhra-pradesh,2022,1,530016,5554647,9991176892.061853
andhra-pradesh,2022,1,516001,4513789,11365056779.562836
andhra-pradesh,2022,1,520010,4492155,9108501441.854177
andhra-pradesh,2022,2,524002,18822839,40556750377.6809
andhra-pradesh,2022,2,530026,12256092,29600523030.089485
andhra-pradesh,2022,2,517501,9320394,17071503296.033054
andhra-pradesh,2022,2,517507,7667416,14863715364.820652
andhra-pradesh,2022,2,520002,7584902,19447767871.79056
andhra-pradesh,2022,2,530016,6470271,11522114399.303429
andhra-pradesh,2022,2,515001,6291639,12847256630.386038
andhra-pradesh,2022,2,522001,6073875,16041957319.95133
andhra-pradesh,2022,2,520010,5301338,10747157085.983915
andhra-pradesh,2022,2,516001,4927880,12452111307.590088
andhra-pradesh,2022,3,530026,10427710,24452749355.343765
andhra-pradesh,2022,3,517501,9028550,16685152652.27945
andhra-pradesh,2022,3,517507,7638906,14893051968.861427
andhra-pradesh,2022,3,524002,6897466,17798259711.658493
andhra-pradesh,2022,3,522001,6608575,14799455202.072798
andhra-pradesh,2022,3,520002,6370783,17359205738.798397
andhra-pradesh,2022,3,530016,6352195,11280121649.92772
andhra-pradesh,2022,3,515001,6120942,12350133591.116642
andhra-pradesh,2022,3,520010,5372903,10801020194.878735
andhra-pradesh,2022,3,516001,5350632,13517253500.100548
andhra-pradesh,2022,4,530026,10249750,23326515677.88234
andhra-pradesh,2022,4,517501,9601016,17160601029.470804
andhra-pradesh,2022,4,517507,8255182,15452889827.310287
andhra-pradesh,2022,4,530016,6770365,11575693176.866528
andhra-pradesh,2022,4,515001,6566772,12647557281.819908
andhra-pradesh,2022,4,522001,6419773,13879436431.018642
andhra-pradesh,2022,4,520010,5887349,11108836639.890686
andhra-pradesh,2022,4,518002,5810257,12488419884.161985
andhra-pradesh,2022,4,520002,5685286,14883019280.330643
andhra-pradesh,2022,4,516001,5545373,13027211098.677938
andhra-pradesh,2023,1,517501,15726677,25326343019.0
andhra-pradesh,2023,1,517507,14231038,24727126661.0
andhra-pradesh,2023,1,530016,11205270,18608492919.0
andhra-pradesh,2023,1,515001,11202633,20163905001.0
andhra-pradesh,2023,1,520010,9654796,17557392337.0
andhra-pradesh,2023,1,518002,8884834,16390389002.0
andhra-pradesh,2023,1,516001,8730141,19045859096.0
andhra-pradesh,2023,1,520011,8055364,14095375533.0
andhra-pradesh,2023,1,520007,7967416,15216553606.0
andhra-pradesh,2023,1,530026,7954047,13507938696.0
andhra-pradesh,2023,2,517501,17533692,27847769343.0
andhra-pradesh,2023,2,517507,16071649,27735983775.0
andhra-pradesh,2023,2,530016,12677134,20503632033.0
andhra-pradesh,2023,2,515001,12455688,22351199564.0
andhra-pradesh,2023,2,520010,10965771,19535374795.0
andhra-pradesh,2023,2,518002,9897206,18254635605.0
andhra-pradesh,2023,2,516001,9681752,21118300896.0
andhra-pradesh,2023,2,520011,9241075,15629118550.0
andhra-pradesh,2023,2,520007,9092492,17011522677.0
andhra-pradesh,2023,2,530026,8876516,14619851366.0
andhra-pradesh,2023,3,517501,19950308,30481660225.0
andhra-pradesh,2023,3,517507,18601251,30773975506.0
andhra-pradesh,2023,3,530016,14464077,22560828048.0
andhra-pradesh,2023,3,515001,14092751,23787806856.0
andhra-pradesh,2023,3,520010,12583902,21578557371.0
andhra-pradesh,2023,3,518002,11433335,19448338656.0
andhra-pradesh,2023,3,516001,11173043,22836561775.0
andhra-pradesh,2023,3,520011,10750550,17171820378.0
andhra-pradesh,2023,3,520007,10452102,18289265117.0
andhra-pradesh,2023,3,530026,10339712,15999035746.0
andhra-pradesh,2023,4,517501,20947807,31651864587.0
andhra-pradesh,2023,4,517507,19563362,31704706880.0
andhra-pradesh,2023,4,515001,15058936,24656474833.0
andhra-pradesh,2023,4,530016,14807835,22908401482.0
andhra-pradesh,2023,4,520010,13194498,22073842410.0
andhra-pradesh,2023,4,518002,12622748,20976834312.0
andhra-pradesh,2023,4,516001,12291648,23977992414.0
andhra-pradesh,2023,4,520011,11506163,18122767533.0
andhra-pradesh,2023,4,520007,11138627,19087862152.0
andhra-pradesh,2023,4,530026,10776659,16712123451.0
arunachal-pradesh,2021,1,791113,127025,394958954.74942803
arunachal-pradesh,2021,1,791110,119184,404502103.3179444
arunachal-pradesh,2021,1,791111,89356,307014656.8532768
arunachal-pradesh,2021,1,791102,68000,211432038.67254648
arunachal-pradesh,2021,1,792103,53040,141156670.32558545
arunachal-pradesh,2021,1,791001,50407,164065117.88460803
arunachal-pradesh,2021,1,792001,48954,130623865.61265224
arunachal-pradesh,2021,1,790104,39581,151312863.21053433
arunachal-pradesh,2021,1,791109,39332,128400296.63511801
arunachal-pradesh,2021,1,790116,38205,115157748.78556368
arunachal-pradesh,2021,2,791113,170268,432196673.5193349
arunachal-pradesh,2021,2,791110,160245,449983951.208361
arunachal-pradesh,2021,2,791111,122368,333974912.1268044
arunachal-pradesh,2021,2,791102,87524,235678147.9304313
arunachal-pradesh,2021,2,792103,76949,179343401.62470114
arunachal-pradesh,2021,2,791001,68927,214550532.0577654
arunachal-pradesh,2021,2,792001,64602,146046509.47044832
arunachal-pradesh,2021,2,790104,52742,184653080.7391938
arunachal-pradesh,2021,2,790116,52323,145624699.2825492
arunachal-pradesh,2021,2,790101,48726,157622337.23185942
arunachal-pradesh,2021,3,791113,225427,582965112.523323
arunachal-pradesh,2021,3,791110,207417,603165812.3057537
arunachal-pradesh,2021,3,791111,153845,442067361.42168665
arunachal-pradesh,2021,3,791102,105715,296166087.7681337
arunachal-pradesh,2021,3,792103,88032,194244543.03871346
arunachal-pradesh,2021,3,792001,80894,180486995.1464384
arunachal-pradesh,2021,3,791001,77128,259793926.03333136
arunachal-pradesh,2021,3,790116,66461,197947119.60324338
arunachal-pradesh,2021,3,790104,65008,261069265.84552905
arunachal-pradesh,2021,3,790101,61516,220804392.11302128
arunachal-pradesh,2021,4,791113,279958,685093585.2469286
arunachal-pradesh,2021,4,791110,258928,718387355.2085327
arunachal-pradesh,2021,4,791111,206496,557846901.7603153
arunachal-pradesh,2021,4,791102,134017,368703032.41367143
arunachal-pradesh,2021,4,792103,115871,238038756.74938503
arunachal-pradesh,2021,4,792001,101771,220359430.80701947
arunachal-pradesh,2021,4,791001,93449,317887115.43826216
arunachal-pradesh,2021,4,791109,84621,218599005.03410858
arunachal-pradesh,2021,4,790116,81804,235869670.0305156
arunachal-pradesh,2021,4,790101,77658,269438817.2199306
arunachal-pradesh,2022,1,791113,336780,819363323.7219163
arunachal-pradesh,2022,1,791110,332485,853173424.1985552
arunachal-pradesh,2022,1,791111,262617,658150204.3789485
arunachal-pradesh,2022,1,791102,159945,417052440.2856392
arunachal-pradesh,2022,1,792103,129210,277477788.7356235
arunachal-pradesh,2022,1,792001,121068,265189556.26145488
arunachal-pradesh,2022,1,791109,111918,254266306.42573798
arunachal-pradesh,2022,1,791001,105769,364396148.4248719
arunachal-pradesh,2022,1,792110,84017,238200426.2222041
arunachal-pradesh,2022,1,790116,82546,221708919.60946545
arunachal-pradesh,2022,2,791110,449672,1063144517.2715561
arunachal-pradesh,2022,2,791111,365813,825171645.8623393
arunachal-pradesh,2022,2,791113,293972,636386755.5775489
arunachal-pradesh,2022,2,791102,202400,506976441.13093287
arunachal-pradesh,2022,2,792103,171123,328590056.9824293
arunachal-pradesh,2022,2,792001,168260,347653259.94772595
arunachal-pradesh,2022,2,791109,160963,328923537.81103456
arunachal-pradesh,2022,2,791001,138781,429415327.4851847
arunachal-pradesh,2022,2,792110,104904,274482044.040218
arunachal-pradesh,2022,2,790116,104888,264639160.7241699
arunachal-pradesh,2022,3,791110,493396,989512226.2480668
arunachal-pradesh,2022,3,791111,430374,859784995.1774595
arunachal-pradesh,2022,3,791113,350164,659314612.6108431
arunachal-pradesh,2022,3,791102,223033,502704075.98509526
arunachal-pradesh,2022,3,792001,177984,312906039.70234203
arunachal-pradesh,2022,3,791109,171234,304861466.0199954
arunachal-pradesh,2022,3,792103,168900,302218714.13136125
arunachal-pradesh,2022,3,791001,156417,457311028.7111173
arunachal-pradesh,2022,3,791112,122875,208103072.98784313
arunachal-pradesh,2022,3,790116,119024,273945831.9687789
arunachal-pradesh,2022,4,791110,579246,1065690345.4630343
arunachal-pradesh,2022,4,791111,486688,876349333.7857587
arunachal-pradesh,2022,4,791113,386008,654736963.6475468
arunachal-pradesh,2022,4,791102,261421,545042068.6599071
arunachal-pradesh,2022,4,792103,210161,343379974.78242886
arunachal-pradesh,2022,4,792001,208541,333708831.3015753
arunachal-pradesh,2022,4,791001,204796,538239069.5092747
arunachal-pradesh,2022,4,791109,199942,337367639.30005294
arunachal-pradesh,2022,4,791112,153846,233172634.3808441
arunachal-pradesh,2022,4,791120,140090,339456055.3039629
arunachal-pradesh,2023,1,791110,1008590,1865632904.0
arunachal-pradesh,2023,1,791111,831426,1477332363.0
arunachal-pradesh,2023,1,791113,649989,1121559593.0
arunachal-pradesh,2023,1,791102,447995,903434926.0
arunachal-pradesh,2023,1,791001,366870,889778955.0
arunachal-pradesh,2023,1,792103,365583,601422665.0
arunachal-pradesh,2023,1,792001,362357,596015826.0
arunachal-pradesh,2023,1,791109,346011,598732770.0
arunachal-pradesh,2023,1,791112,271249,420585957.0
arunachal-pradesh,2023,1,792110,257655,541516308.0
arunachal-pradesh,2023,2,791110,1284096,2250046634.0
arunachal-pradesh,2023,2,791111,1052500,1803211887.0
arunachal-pradesh,2023,2,791113,876188,1385591554.0
arunachal-pradesh,2023,2,791102,562332,1044263268.0
arunachal-pradesh,2023,2,791001,513980,1133981925.0
arunachal-pradesh,2023,2,792103,457250,726708001.0
arunachal-pradesh,2023,2,792001,438532,644916082.0
arunachal-pradesh,2023,2,791109,427364,717696530.0
arunachal-pradesh,2023,2,791112,345029,495018657.0
arunachal-pradesh,2023,2,791120,332910,680619706.0
arunachal-pradesh,2023,3,791110,1661134,2365086913.0
arunachal-pradesh,2023,3,791111,1363251,2020637254.0
arunachal-pradesh,2023,3,791113,1115065,1447139650.0
arunachal-pradesh,2023,3,791102,662599,1099829972.0
arunachal-pradesh,2023,3,791001,635902,1214170402.0
arunachal-pradesh,2023,3,791109,538935,750620162.0
arunachal-pradesh,2023,3,792001,516124,679740795.0
arunachal-pradesh,2023,3,792103,505774,687112229.0
arunachal-pradesh,2023,3,791120,463102,802542628.0
arunachal-pradesh,2023,3,791112,419810,520025156.0
arunachal-pradesh,2023,4,791110,1837445,2669223628.0
arunachal-pradesh,2023,4,791111,1463009,2158311042.0
arunachal-pradesh,2023,4,791113,1226209,1586909437.0
arunachal-pradesh,2023,4,791001,779414,1466258662.0
arunachal-pradesh,2023,4,791102,778294,1278523505.0
arunachal-pradesh,2023,4,791109,579758,799703507.0
arunachal-pradesh,2023,4,792001,575462,765356932.0
arunachal-pradesh,2023,4,792103,571430,822938257.0
arunachal-pradesh,2023,4,791120,531436,928337413.0
arunachal-pradesh,2023,4,791112,472443,597926276.0
assam,2021,1,781009,6524270,17428233384.59051
assam,2021,1,786001,223886,596404833.4438283
assam,2021,1,781022,220209,532676696.43146753
assam,2021,1,781032,219173,454425488.5049339
assam,2021,1,781001,164447,415951266.1170123
assam,2021,1,781038,147267,339125036.70450056
assam,2021,1,781028,134378,379837463.59430516
assam,2021,1,781039,121609,125229899.36340648
assam,2021,1,781011,118996,298364755.0464896
assam,2021,1,781019,115698,244218722.4529047
assam,2021,2,781009,9152474,20665273162.818207
assam,2021,2,786001,301912,712393100.0840259
assam,2021,2,781032,214544,426648785.4343436
assam,2021,2,781022,210224,485126089.27296245
assam,2021,2,781038,156202,329131794.605857
assam,2021,2,781028,141496,376162457.3692011
assam,2021,2,781319,141071,380180308.0508309
assam,2021,2,781001,140945,344252530.57261163
assam,2021,2,783330,140014,436650824.6769772
assam,2021,2,781039,138550,131928199.0376262
assam,2021,3,781009,12729978,27464031964.343338
assam,2021,3,786001,427258,967975521.6469452
assam,2021,3,781032,317420,611161689.2896398
assam,2021,3,781022,306809,640424297.5125268
assam,2021,3,781038,228604,464233898.47619295
assam,2021,3,781001,214826,510386365.51873195
assam,2021,3,781028,202529,500653116.2649457
assam,2021,3,781011,185134,430608615.9835314
assam,2021,3,781316,184851,502029448.6452037
assam,2021,3,781319,181532,432011296.62647235
assam,2021,4,781009,16779607,36391151860.79283
assam,2021,4,786001,589421,1306149293.232204
assam,2021,4,781032,478852,833712155.0773808
assam,2021,4,781022,476771,875944174.2396414
assam,2021,4,781001,350899,765800172.2543352
assam,2021,4,781038,326950,624753356.359648
assam,2021,4,781028,293043,655881497.7437193
assam,2021,4,781316,285464,789572479.0883284
assam,2021,4,781319,279718,685350696.6633132
assam,2021,4,781019,258000,438702563.555657
assam,2022,1,781009,21143287,46189827357.81514
assam,2022,1,786001,737669,1585322411.8476655
assam,2022,1,781022,642641,1105531337.2939954
assam,2022,1,781032,607413,955576175.5206772
assam,2022,1,781001,441260,881518668.7427199
assam,2022,1,781038,429897,775937821.390959
assam,2022,1,781028,382727,817368217.3828207
assam,2022,1,781319,368895,924024506.300522
assam,2022,1,781316,362610,1037947224.1412314
assam,2022,1,781005,328830,517855589.3922645
assam,2022,2,781009,27909097,54262481044.38667
assam,2022,2,786001,1010236,1941254752.2972517
assam,2022,2,781022,811780,1259138761.603972
assam,2022,2,781032,753818,1091880235.144574
assam,2022,2,781001,557255,1059437471.6575356
assam,2022,2,781038,548977,903984431.7288729
assam,2022,2,781319,492658,1098052924.3591151
assam,2022,2,781316,486936,1132618346.6611218
assam,2022,2,781028,483936,902088623.5927126
assam,2022,2,784115,480261,916458107.4299153
assam,2022,3,781013,23740033,43477837025.4255
assam,2022,3,781009,4453845,8402332124.458529
assam,2022,3,785001,1305456,2167988132.8763847
assam,2022,3,781022,917155,1321082161.5434377
assam,2022,3,781032,854723,1185465367.2670166
assam,2022,3,788151,782629,1483869240.8816051
assam,2022,3,786001,773303,1335823069.7053273
assam,2022,3,781301,672975,1289345107.4433177
assam,2022,3,784001,652030,1117819634.0792766
assam,2022,3,781001,640733,1147070060.5891519
assam,2022,4,781013,35940014,65266942297.03035
assam,2022,4,781301,1464765,2697007904.954568
assam,2022,4,785001,1165321,1892213052.0515342
assam,2022,4,783380,1025231,1980825353.213442
assam,2022,4,781022,1021760,1404907163.957292
assam,2022,4,786001,1016397,1720962331.638275
assam,2022,4,781032,945052,1228668811.6378405
assam,2022,4,781103,813992,1537206912.0077815
assam,2022,4,781001,753829,1316233723.5341868
assam,2022,4,781038,712469,1030362512.4909468
assam,2023,1,781022,1749029,2342279502.0
assam,2023,1,781032,1627088,2012106164.0
assam,2023,1,781001,1280566,2136865851.0
assam,2023,1,781038,1247626,1749670440.0
assam,2023,1,783129,1110962,2698938239.0
assam,2023,1,781028,1090392,1791907877.0
assam,2023,1,781319,1061715,2251767981.0
assam,2023,1,781316,1032705,2431050118.0
assam,2023,1,784115,1009774,2061330767.0
assam,2023,1,783380,958481,1823666776.0
assam,2023,2,781022,2063166,2562924738.0
assam,2023,2,781032,1925566,2273047489.0
assam,2023,2,781038,1521317,2028270390.0
assam,2023,2,781001,1509598,2325206424.0
assam,2023,2,783129,1375422,2886541689.0
assam,2023,2,781028,1312976,1908981709.0
assam,2023,2,781319,1282666,2455281118.0
assam,2023,2,781316,1255423,2533622049.0
assam,2023,2,784115,1238883,2241313343.0
assam,2023,2,781308,1215013,2289450438.0
assam,2023,3,781022,2491926,2811683722.0
assam,2023,3,781032,2400771,2497927190.0
assam,2023,3,781038,1897423,2167234683.0
assam,2023,3,781001,1783209,2441414081.0
assam,2023,3,783129,1758286,2872890105.0
assam,2023,3,783348,1609846,2432787159.0
assam,2023,3,781028,1583250,2017140979.0
assam,2023,3,781319,1548376,2274307158.0
assam,2023,3,783380,1522306,2332602062.0
assam,2023,3,784115,1503319,2223192278.0
assam,2023,4,781022,2640320,3002470389.0
assam,2023,4,781032,2417305,2525705046.0
assam,2023,4,783129,2278308,3642429760.0
assam,2023,4,783348,2130532,3103716999.0
assam,2023,4,781038,2067368,2351462434.0
assam,2023,4,781001,2041569,2911103716.0
assam,2023,4,784115,1931849,3265077854.0
assam,2023,4,781316,1857840,3082333746.0
assam,2023,4,781319,1828838,2582321516.0
assam,2023,4,781308,1812060,2573398135.0
bihar,2021,1,800001,30937663,68071234953.67711
bihar,2021,1,800006,1445408,2044215999.4083529
bihar,2021,1,812002,1294407,2974824725.1937957
bihar,2021,1,800020,1280068,2479435418.426359
bihar,2021,1,842002,1073211,2482912331.330185
bihar,2021,1,845401,1055075,2464758940.0598054
bihar,2021,1,845438,880745,2088193313.8245957
bihar,2021,1,854301,875185,1958403080.7084646
bihar,2021,1,846004,807152,1824715535.394949
bihar,2021,1,823001,796129,1672251870.901363
bihar,2021,2,800001,42836603,91781680811.21814
bihar,2021,2,812002,1958899,4209745460.9281955
bihar,2021,2,842002,1370353,3140135185.4347143
bihar,2021,2,845401,1210441,2882777813.509632
bihar,2021,2,841226,1204361,2914409125.5978727
bihar,2021,2,800020,1161642,2546006675.163774
bihar,2021,2,854301,1152369,2512968861.202764
bihar,2021,2,845438,1057650,2452007261.5639763
bihar,2021,2,800006,963330,1633775908.6278162
bihar,2021,2,846004,960198,2211938496.0879173
bihar,2021,3,800001,49086869,90644799090.2764
