State,Year,Quarter,District,Registered_users
andhra-pradesh,2022,4,kurnool,2018290
andhra-pradesh,2022,4,west godavari,1893310
andhra-pradesh,2022,4,spsr nellore,1663684
andhra-pradesh,2022,4,prakasam,1642503
andhra-pradesh,2023,1,visakhapatnam,3732544
andhra-pradesh,2023,1,east godavari,2965296
andhra-pradesh,2023,1,krishna,2941585
andhra-pradesh,2023,1,guntur,2900895
andhra-pradesh,2023,1,chittoor,2755784
andhra-pradesh,2023,1,anantapur,2228505
andhra-pradesh,2023,1,kurnool,2114023
andhra-pradesh,2023,1,west godavari,1980446
andhra-pradesh,2023,1,spsr nellore,1740294
andhra-pradesh,2023,1,prakasam,1719910
andhra-pradesh,2023,2,visakhapatnam,3877504
andhra-pradesh,2023,2,east godavari,3082893
andhra-pradesh,2023,2,krishna,3054956
andhra-pradesh,2023,2,guntur,3014655
andhra-pradesh,2023,2,chittoor,2865250
andhra-pradesh,2023,2,anantapur,2323796
andhra-pradesh,2023,2,kurnool,2202517
andhra-pradesh,2023,2,west godavari,2059880
andhra-pradesh,2023,2,spsr nellore,1811781
andhra-pradesh,2023,2,prakasam,1792637
andhra-pradesh,2023,3,visakhapatnam,4035323
andhra-pradesh,2023,3,east godavari,3211557
andhra-pradesh,2023,3,krishna,3177643
andhra-pradesh,2023,3,guntur,3137289
andhra-pradesh,2023,3,chittoor,2981337
andhra-pradesh,2023,3,anantapur,2421293
andhra-pradesh,2023,3,kurnool,2295754
andhra-pradesh,2023,3,west godavari,2146530
andhra-pradesh,2023,3,spsr nellore,1887005
andhra-pradesh,2023,3,prakasam,1868997
andhra-pradesh,2023,4,visakhapatnam,4180797
andhra-pradesh,2023,4,east godavari,3329036
andhra-pradesh,2023,4,krishna,3291814
andhra-pradesh,2023,4,guntur,3251121
andhra-pradesh,2023,4,chittoor,3089391
andhra-pradesh,2023,4,anantapur,2512744
andhra-pradesh,2023,4,kurnool,2383042
andhra-pradesh,2023,4,west godavari,2227243
andhra-pradesh,2023,4,spsr nellore,1956706
andhra-pradesh,2023,4,prakasam,1939979
arunachal-pradesh,2021,1,papum pare,84715
arunachal-pradesh,2021,1,west kameng,21027
arunachal-pradesh,2021,1,changlang,19716
arunachal-pradesh,2021,1,east siang,19342
arunachal-pradesh,2021,1,lohit,14231
arunachal-pradesh,2021,1,tawang,11778
arunachal-pradesh,2021,1,west siang,10836
arunachal-pradesh,2021,1,namsai,10242
arunachal-pradesh,2021,1,lower dibang valley,8402
arunachal-pradesh,2021,1,lower subansiri,8044
arunachal-pradesh,2021,2,papum pare,90871
arunachal-pradesh,2021,2,west kameng,22625
arunachal-pradesh,2021,2,changlang,21404
arunachal-pradesh,2021,2,east siang,20817
arunachal-pradesh,2021,2,lohit,15360
arunachal-pradesh,2021,2,tawang,12636
arunachal-pradesh,2021,2,west siang,11657
arunachal-pradesh,2021,2,namsai,11111
arunachal-pradesh,2021,2,lower dibang valley,9094
arunachal-pradesh,2021,2,lower subansiri,8685
arunachal-pradesh,2021,3,papum pare,97854
arunachal-pradesh,2021,3,west kameng,24489
arunachal-pradesh,2021,3,changlang,23328
arunachal-pradesh,2021,3,east siang,22538
arunachal-pradesh,2021,3,lohit,16680
arunachal-pradesh,2021,3,tawang,13650
arunachal-pradesh,2021,3,west siang,12616
arunachal-pradesh,2021,3,namsai,12140
arunachal-pradesh,2021,3,lower dibang valley,9920
arunachal-pradesh,2021,3,lower subansiri,9451
arunachal-pradesh,2021,4,papum pare,104806
arunachal-pradesh,2021,4,west kameng,26237
arunachal-pradesh,2021,4,changlang,25155
arunachal-pradesh,2021,4,east siang,24208
arunachal-pradesh,2021,4,lohit,17980
arunachal-pradesh,2021,4,tawang,14665
arunachal-pradesh,2021,4,west siang,13555
arunachal-pradesh,2021,4,namsai,13092
arunachal-pradesh,2021,4,lower dibang valley,10679
arunachal-pradesh,2021,4,lower subansiri,10187
arunachal-pradesh,2022,1,papum pare,111271
arunachal-pradesh,2022,1,west kameng,27860
arunachal-pradesh,2022,1,changlang,26904
arunachal-pradesh,2022,1,east siang,25763
arunachal-pradesh,2022,1,lohit,19214
arunachal-pradesh,2022,1,tawang,15589
arunachal-pradesh,2022,1,west siang,14420
arunachal-pradesh,2022,1,namsai,14054
arunachal-pradesh,2022,1,lower dibang valley,11401
arunachal-pradesh,2022,1,lower subansiri,10854
arunachal-pradesh,2022,2,papum pare,117568
arunachal-pradesh,2022,2,west kameng,29424
arunachal-pradesh,2022,2,changlang,28495
arunachal-pradesh,2022,2,east siang,27240
arunachal-pradesh,2022,2,lohit,20325
arunachal-pradesh,2022,2,tawang,16475
arunachal-pradesh,2022,2,west siang,15231
arunachal-pradesh,2022,2,namsai,14887
arunachal-pradesh,2022,2,lower dibang valley,12040
arunachal-pradesh,2022,2,lower subansiri,11479
arunachal-pradesh,2022,3,papum pare,124095
arunachal-pradesh,2022,3,west kameng,30964
arunachal-pradesh,2022,3,changlang,29965
arunachal-pradesh,2022,3,east siang,28698
arunachal-pradesh,2022,3,lohit,21385
arunachal-pradesh,2022,3,tawang,17281
arunachal-pradesh,2022,3,west siang,16063
arunachal-pradesh,2022,3,namsai,15642
arunachal-pradesh,2022,3,lower dibang valley,12668
arunachal-pradesh,2022,3,lower subansiri,12085
arunachal-pradesh,2022,4,papum pare,130306
arunachal-pradesh,2022,4,west kameng,32237
arunachal-pradesh,2022,4,changlang,31196
arunachal-pradesh,2022,4,east siang,30033
arunachal-pradesh,2022,4,lohit,22359
arunachal-pradesh,2022,4,tawang,18003
arunachal-pradesh,2022,4,west siang,16816
arunachal-pradesh,2022,4,namsai,16322
arunachal-pradesh,2022,4,lower dibang valley,13188
arunachal-pradesh,2022,4,lower subansiri,12630
arunachal-pradesh,2023,1,papum pare,136357
arunachal-pradesh,2023,1,west kameng,33625
arunachal-pradesh,2023,1,changlang,32646
arunachal-pradesh,2023,1,east siang,31416
arunachal-pradesh,2023,1,lohit,23429
arunachal-pradesh,2023,1,tawang,18817
arunachal-pradesh,2023,1,west siang,17590
arunachal-pradesh,2023,1,namsai,17064
arunachal-pradesh,2023,1,lower dibang valley,13811
arunachal-pradesh,2023,1,lower subansiri,13220
arunachal-pradesh,2023,2,papum pare,141879
arunachal-pradesh,2023,2,west kameng,35075
arunachal-pradesh,2023,2,changlang,34286
arunachal-pradesh,2023,2,east siang,32826
arunachal-pradesh,2023,2,lohit,24522
arunachal-pradesh,2023,2,tawang,19674
arunachal-pradesh,2023,2,west siang,18396
arunachal-pradesh,2023,2,namsai,17877
arunachal-pradesh,2023,2,lower dibang valley,14441
arunachal-pradesh,2023,2,lower subansiri,13816
arunachal-pradesh,2023,3,papum pare,147681
arunachal-pradesh,2023,3,west kameng,36577
arunachal-pradesh,2023,3,changlang,35843
arunachal-pradesh,2023,3,east siang,34293
arunachal-pradesh,2023,3,lohit,25647
arunachal-pradesh,2023,3,tawang,20501
arunachal-pradesh,2023,3,west siang,19174
arunachal-pradesh,2023,3,namsai,18704
arunachal-pradesh,2023,3,lower dibang valley,15073
arunachal-pradesh,2023,3,lower subansiri,14442
arunachal-pradesh,2023,4,papum pare,153071
arunachal-pradesh,2023,4,west kameng,37896
arunachal-pradesh,2023,4,changlang,37357
arunachal-pradesh,2023,4,east siang,35633
arunachal-pradesh,2023,4,lohit,26708
arunachal-pradesh,2023,4,tawang,21219
arunachal-pradesh,2023,4,west siang,19949
arunachal-pradesh,2023,4,namsai,19452
arunachal-pradesh,2023,4,lower dibang valley,15725
arunachal-pradesh,2023,4,lower subansiri,15092
assam,2021,1,kamrup metropolitan,589688
assam,2021,1,nagaon,200243
assam,2021,1,barpeta,177789
assam,2021,1,cachar,172056
assam,2021,1,sonitpur,158555
assam,2021,1,dibrugarh,158509
assam,2021,1,kamrup,147671
assam,2021,1,tinsukia,134067
assam,2021,1,jorhat,116616
assam,2021,1,dhubri,101643
assam,2021,2,kamrup metropolitan,630676
assam,2021,2,nagaon,215750
assam,2021,2,barpeta,191700
assam,2021,2,cachar,185350
assam,2021,2,dibrugarh,170604
assam,2021,2,sonitpur,170519
assam,2021,2,kamrup,159018
assam,2021,2,tinsukia,144571
assam,2021,2,jorhat,125247
assam,2021,2,dhubri,109873
assam,2021,3,kamrup metropolitan,677223
assam,2021,3,nagaon,233909
assam,2021,3,barpeta,207997
assam,2021,3,cachar,200721
assam,2021,3,sonitpur,184448
assam,2021,3,dibrugarh,184280
assam,2021,3,kamrup,172652
assam,2021,3,tinsukia,156657
assam,2021,3,jorhat,135179
assam,2021,3,dhubri,119554
assam,2021,4,kamrup metropolitan,723960
assam,2021,4,nagaon,251340
assam,2021,4,barpeta,223375
assam,2021,4,cachar,215876
assam,2021,4,sonitpur,198091
assam,2021,4,dibrugarh,197521
assam,2021,4,kamrup,185421
assam,2021,4,tinsukia,168240
assam,2021,4,jorhat,145111
assam,2021,4,dhubri,128621
assam,2022,1,kamrup metropolitan,767859
assam,2022,1,nagaon,268636
assam,2022,1,barpeta,238871
assam,2022,1,cachar,230089
assam,2022,1,sonitpur,211236
assam,2022,1,dibrugarh,210525
assam,2022,1,kamrup,198189
assam,2022,1,tinsukia,179301
assam,2022,1,jorhat,154589
assam,2022,1,dhubri,137698
assam,2022,2,kamrup metropolitan,810057
assam,2022,2,nagaon,284558
assam,2022,2,barpeta,253194
assam,2022,2,cachar,243727
assam,2022,2,sonitpur,223514
assam,2022,2,dibrugarh,222494
assam,2022,2,kamrup,210048
assam,2022,2,tinsukia,189633
assam,2022,2,jorhat,163307
assam,2022,2,dhubri,146304
assam,2022,3,kamrup metropolitan,854019
assam,2022,3,nagaon,300653
assam,2022,3,barpeta,267667
assam,2022,3,cachar,257370
assam,2022,3,sonitpur,235752
assam,2022,3,dibrugarh,234149
assam,2022,3,kamrup,221721
assam,2022,3,tinsukia,199942
assam,2022,3,jorhat,171824
assam,2022,3,dhubri,154896
assam,2022,4,kamrup metropolitan,897245
assam,2022,4,nagaon,314901
assam,2022,4,barpeta,280479
assam,2022,4,cachar,269556
assam,2022,4,sonitpur,246327
assam,2022,4,dibrugarh,244755
assam,2022,4,kamrup,231849
assam,2022,4,tinsukia,209247
assam,2022,4,jorhat,179437
assam,2022,4,dhubri,162126
assam,2023,1,kamrup metropolitan,938802
assam,2023,1,nagaon,330283
assam,2023,1,barpeta,294210
assam,2023,1,cachar,282643
assam,2023,1,sonitpur,258067
assam,2023,1,dibrugarh,256050
assam,2023,1,kamrup,242982
assam,2023,1,tinsukia,219077
assam,2023,1,jorhat,187799
assam,2023,1,dhubri,170279
assam,2023,2,kamrup metropolitan,975409
assam,2023,2,nagaon,345756
assam,2023,2,barpeta,307888
assam,2023,2,cachar,295315
assam,2023,2,sonitpur,269578
assam,2023,2,dibrugarh,267326
assam,2023,2,kamrup,254290
assam,2023,2,tinsukia,228972
assam,2023,2,jorhat,196116
assam,2023,2,dhubri,178594
assam,2023,3,kamrup metropolitan,1014178
assam,2023,3,nagaon,360999
assam,2023,3,barpeta,321557
assam,2023,3,cachar,308182
assam,2023,3,sonitpur,281112
assam,2023,3,dibrugarh,278740
assam,2023,3,kamrup,265357
assam,2023,3,tinsukia,239058
assam,2023,3,jorhat,204393
assam,2023,3,dhubri,186435
assam,2023,4,kamrup metropolitan,1050970
assam,2023,4,nagaon,375835
assam,2023,4,barpeta,334209
assam,2023,4,cachar,320070
assam,2023,4,sonitpur,291996
assam,2023,4,dibrugarh,289409
assam,2023,4,kamrup,276067
assam,2023,4,tinsukia,248429
assam,2023,4,jorhat,212335
assam,2023,4,dhubri,193881
bihar,2021,1,patna,1881439
bihar,2021,1,muzaffarpur,728384
bihar,2021,1,purbi champaran,681660
bihar,2021,1,gaya,581376
bihar,2021,1,pashchim champaran,517219
bihar,2021,1,saran,507177
bihar,2021,1,darbhanga,506381
bihar,2021,1,madhubani,506293
bihar,2021,1,samastipur,505806
bihar,2021,1,vaishali,463655
bihar,2021,2,patna,2010353
bihar,2021,2,muzaffarpur,781251
bihar,2021,2,purbi champaran,733817
bihar,2021,2,gaya,624010
bihar,2021,2,pashchim champaran,556408
bihar,2021,2,saran,544975
bihar,2021,2,samastipur,543782
bihar,2021,2,darbhanga,543496
bihar,2021,2,madhubani,543493
bihar,2021,2,vaishali,497933
bihar,2021,3,patna,2156402
bihar,2021,3,muzaffarpur,842701
bihar,2021,3,purbi champaran,794120
bihar,2021,3,gaya,673356
bihar,2021,3,pashchim champaran,602251
bihar,2021,3,saran,588276
bihar,2021,3,madhubani,587337
bihar,2021,3,samastipur,586990
bihar,2021,3,darbhanga,586251
bihar,2021,3,vaishali,536933
bihar,2021,4,patna,2303852
bihar,2021,4,muzaffarpur,903775
bihar,2021,4,purbi champaran,853893
bihar,2021,4,gaya,721905
bihar,2021,4,pashchim champaran,647450
bihar,2021,4,saran,631469
bihar,2021,4,samastipur,630218
bihar,2021,4,madhubani,629986
bihar,2021,4,darbhanga,628529
bihar,2021,4,vaishali,576156
bihar,2022,1,patna,2443356
bihar,2022,1,muzaffarpur,962924
bihar,2022,1,purbi champaran,912427
bihar,2022,1,gaya,769265
bihar,2022,1,pashchim champaran,692182
bihar,2022,1,saran,673849
bihar,2022,1,samastipur,672508
bihar,2022,1,madhubani,672303
bihar,2022,1,darbhanga,669850
bihar,2022,1,vaishali,614159
bihar,2022,2,patna,2577123
bihar,2022,2,muzaffarpur,1018560
bihar,2022,2,purbi champaran,967838
bihar,2022,2,gaya,814180
bihar,2022,2,pashchim champaran,734476
bihar,2022,2,saran,714109
bihar,2022,2,samastipur,712626
bihar,2022,2,madhubani,711897
bihar,2022,2,darbhanga,708828
bihar,2022,2,vaishali,650319
bihar,2022,3,patna,2716533
bihar,2022,3,muzaffarpur,1077200
bihar,2022,3,purbi champaran,1025772
bihar,2022,3,gaya,859903
bihar,2022,3,pashchim champaran,777977
bihar,2022,3,saran,756293
bihar,2022,3,samastipur,754322
bihar,2022,3,madhubani,753153
bihar,2022,3,darbhanga,749430
bihar,2022,3,vaishali,688248
bihar,2022,4,patna,2854738
bihar,2022,4,muzaffarpur,1132096
bihar,2022,4,purbi champaran,1079466
bihar,2022,4,gaya,902593
bihar,2022,4,pashchim champaran,817644
bihar,2022,4,saran,795553
bihar,2022,4,samastipur,793296
bihar,2022,4,madhubani,790218
bihar,2022,4,darbhanga,787306
bihar,2022,4,vaishali,723338
bihar,2023,1,patna,2988174
bihar,2023,1,muzaffarpur,1186500
bihar,2023,1,purbi champaran,1133269
bihar,2023,1,gaya,946050
bihar,2023,1,pashchim champaran,858644
bihar,2023,1,saran,834739
bihar,2023,1,samastipur,832148
bihar,2023,1,madhubani,828561
bihar,2023,1,darbhanga,824935
bihar,2023,1,vaishali,758603
bihar,2023,2,patna,3102247
bihar,2023,2,muzaffarpur,1236642
bihar,2023,2,purbi champaran,1183746
bihar,2023,2,gaya,987115
bihar,2023,2,pashchim champaran,896967
bihar,2023,2,saran,871017
bihar,2023,2,samastipur,868715
bihar,2023,2,madhubani,865373
bihar,2023,2,darbhanga,860625
bihar,2023,2,vaishali,791100
bihar,2023,3,patna,3224750
bihar,2023,3,muzaffarpur,1287940
bihar,2023,3,purbi champaran,1234014
bihar,2023,3,gaya,1028527
bihar,2023,3,pashchim champaran,934834
bihar,2023,3,saran,908065
bihar,2023,3,samastipur,905652
bihar,2023,3,madhubani,901607
bihar,2023,3,darbhanga,896190
bihar,2023,3,vaishali,824848
bihar,2023,4,patna,3335655
bihar,2023,4,muzaffarpur,1336058
bihar,2023,4,purbi champaran,1280593
bihar,2023,4,gaya,1066119
bihar,2023,4,pashchim champaran,969579
bihar,2023,4,saran,942850
bihar,2023,4,samastipur,939833
bihar,2023,4,madhubani,935884
bihar,2023,4,darbhanga,929423
bihar,2023,4,vaishali,855913
chandigarh,2021,1,chandigarh,419998
chandigarh,2021,2,chandigarh,448572
chandigarh,2021,3,chandigarh,480463
chandigarh,2021,4,chandigarh,512092
chandigarh,2022,1,chandigarh,541549
chandigarh,2022,2,chandigarh,569582
chandigarh,2022,3,chandigarh,598698
chandigarh,2022,4,chandigarh,627563
chandigarh,2023,1,chandigarh,654522
chandigarh,2023,2,chandigarh,678662
chandigarh,2023,3,chandigarh,704144
chandigarh,2023,4,chandigarh,727594
chhattisgarh,2021,1,raipur,800224
chhattisgarh,2021,1,durg,498453
chhattisgarh,2021,1,bilaspur,413692
chhattisgarh,2021,1,raigarh,306712
chhattisgarh,2021,1,janjgir champa,301931
chhattisgarh,2021,1,korba,243030
chhattisgarh,2021,1,rajnandgaon,200572
chhattisgarh,2021,1,baloda bazar,178486
chhattisgarh,2021,1,surguja,147969
chhattisgarh,2021,1,mahasamund,139572
chhattisgarh,2021,2,raipur,855848
chhattisgarh,2021,2,durg,531550
chhattisgarh,2021,2,bilaspur,442330
chhattisgarh,2021,2,raigarh,328664
chhattisgarh,2021,2,janjgir champa,322297
chhattisgarh,2021,2,korba,260168
chhattisgarh,2021,2,rajnandgaon,215143
chhattisgarh,2021,2,baloda bazar,191114
chhattisgarh,2021,2,surguja,158949
chhattisgarh,2021,2,mahasamund,149983
chhattisgarh,2021,3,raipur,917950
chhattisgarh,2021,3,durg,568361
chhattisgarh,2021,3,bilaspur,474660
chhattisgarh,2021,3,raigarh,354087
chhattisgarh,2021,3,janjgir champa,346366
chhattisgarh,2021,3,korba,279897
chhattisgarh,2021,3,rajnandgaon,232140
chhattisgarh,2021,3,baloda bazar,205941
chhattisgarh,2021,3,surguja,171276
chhattisgarh,2021,3,mahasamund,161893
chhattisgarh,2021,4,raipur,979741
chhattisgarh,2021,4,durg,604621
chhattisgarh,2021,4,bilaspur,506449
chhattisgarh,2021,4,raigarh,378507
chhattisgarh,2021,4,janjgir champa,368980
chhattisgarh,2021,4,korba,299191
chhattisgarh,2021,4,rajnandgaon,248230
chhattisgarh,2021,4,baloda bazar,220188
chhattisgarh,2021,4,surguja,183559
chhattisgarh,2021,4,mahasamund,173519
chhattisgarh,2022,1,raipur,1038105
chhattisgarh,2022,1,durg,639688
chhattisgarh,2022,1,bilaspur,537617
chhattisgarh,2022,1,raigarh,403164
chhattisgarh,2022,1,janjgir champa,392285
chhattisgarh,2022,1,korba,317604
chhattisgarh,2022,1,rajnandgaon,264326
chhattisgarh,2022,1,baloda bazar,234464
chhattisgarh,2022,1,surguja,195440
chhattisgarh,2022,1,mahasamund,185227
chhattisgarh,2022,2,raipur,1093318
chhattisgarh,2022,2,durg,672947
chhattisgarh,2022,2,bilaspur,566475
chhattisgarh,2022,2,raigarh,425526
chhattisgarh,2022,2,janjgir champa,414133
chhattisgarh,2022,2,korba,334672
chhattisgarh,2022,2,rajnandgaon,278724
chhattisgarh,2022,2,baloda bazar,247634
chhattisgarh,2022,2,surguja,206354
chhattisgarh,2022,2,mahasamund,195406
chhattisgarh,2022,3,raipur,1150501
chhattisgarh,2022,3,durg,707241
chhattisgarh,2022,3,bilaspur,596003
chhattisgarh,2022,3,raigarh,448366
chhattisgarh,2022,3,janjgir champa,436349
chhattisgarh,2022,3,korba,352198
chhattisgarh,2022,3,rajnandgaon,292804
chhattisgarh,2022,3,baloda bazar,260632
chhattisgarh,2022,3,surguja,217313
chhattisgarh,2022,3,mahasamund,205270
chhattisgarh,2022,4,raipur,1205632
chhattisgarh,2022,4,durg,740173
chhattisgarh,2022,4,bilaspur,622644
chhattisgarh,2022,4,raigarh,468010
chhattisgarh,2022,4,janjgir champa,455430
chhattisgarh,2022,4,korba,368179
chhattisgarh,2022,4,rajnandgaon,304353
chhattisgarh,2022,4,baloda bazar,271259
chhattisgarh,2022,4,surguja,226706
chhattisgarh,2022,4,mahasamund,213189
chhattisgarh,2023,1,raipur,1260366
chhattisgarh,2023,1,durg,773280
chhattisgarh,2023,1,bilaspur,651084
chhattisgarh,2023,1,raigarh,489890
chhattisgarh,2023,1,janjgir champa,476533
chhattisgarh,2023,1,korba,384883
chhattisgarh,2023,1,rajnandgaon,317976
chhattisgarh,2023,1,baloda bazar,283757
chhattisgarh,2023,1,surguja,237340
chhattisgarh,2023,1,mahasamund,222989
chhattisgarh,2023,2,raipur,1308762
chhattisgarh,2023,2,durg,803101
chhattisgarh,2023,2,bilaspur,677776
chhattisgarh,2023,2,raigarh,511511
chhattisgarh,2023,2,janjgir champa,497925
chhattisgarh,2023,2,korba,401398
chhattisgarh,2023,2,rajnandgaon,332345
chhattisgarh,2023,2,baloda bazar,296661
chhattisgarh,2023,2,surguja,248004
chhattisgarh,2023,2,mahasamund,233538
chhattisgarh,2023,3,raipur,1360842
chhattisgarh,2023,3,durg,834591
chhattisgarh,2023,3,bilaspur,705698
chhattisgarh,2023,3,raigarh,532938
chhattisgarh,2023,3,janjgir champa,518847
chhattisgarh,2023,3,korba,418027
chhattisgarh,2023,3,rajnandgaon,346368
chhattisgarh,2023,3,baloda bazar,309128
chhattisgarh,2023,3,surguja,258533
chhattisgarh,2023,3,mahasamund,243585
chhattisgarh,2023,4,raipur,1407537
chhattisgarh,2023,4,durg,863802
chhattisgarh,2023,4,bilaspur,729941
chhattisgarh,2023,4,raigarh,552165
chhattisgarh,2023,4,janjgir champa,537936
chhattisgarh,2023,4,korba,432504
chhattisgarh,2023,4,rajnandgaon,359246
chhattisgarh,2023,4,baloda bazar,320644
chhattisgarh,2023,4,surguja,267755
chhattisgarh,2023,4,mahasamund,252583
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,dadra and nagar haveli,192262
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,daman,117728
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,diu,11406
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,dadra and nagar haveli,206516
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,daman,126258
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,diu,12220
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli,222731
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,daman,135976
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu,13167
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,dadra and nagar haveli,239110
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,daman,145806
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,diu,14047
